"Subject Code","Catalog Number","Description"
"CRJU","30003","For Honors students and other selected superior students with permission of the Chair of the Criminal Justice Department.  Includes discussion of the criminal justice literature concerning significant issues and trends."
"CRJU","30223","An examination of topics of current interest in crime and justice. Topics change, therefore this course may be taken more than once when topics differ."
"CRJU","30333","An examination of historical and modern criminological theories.  Emphasis is given to the utility of various theories in explaining criminal behavior and creating effective policy."
"CRJU","30383","An examination of institutional corrections.  Philosophies of punishment, and the history of corrections that gave rise to the modern penitentiary are highlighted.  Both the formal and informal organization of prisoners and prison administrators are addressed in relation to the inmate/correctional officer experience of the institution."
"CRJU","30423","An examination of the American court system.  Topics include a comparison of state and federal court systems, socialization processes within the legal profession, and an evaluation of the impact of politics on the judicial process."
"CRJU","30433","Prerequisites: CRJU 20413.  An examination of the purpose, objective, and sources of criminal law. Principles of criminal liability and defenses as well as the elements of criminal offenses are explored. The differences between statutory law and common law are discussed."
"CRJU","30453","This class offers an in-depth examination of the juvenile justice system. This includes the historical development of the juvenile justice system and the idea of delinquency, the major components of the juvenile justice system and critical issues therein, and the laws and procedures that govern the system."
"CRJU","30523","Prerequisite:  CRJU 20413 or permission of the instructor.  An introduction to the recognition, collection and evaluation of physical evidence arising from a crime or suspicious incident, concentrating on the various techniques of crime scene investigation including crime scene search, note-taking, sketching, photography, and preservation of evidence."
"CRJU","30533","This course examines theories and methods of social work intervention, with an emphasis on intervening with justice-involved clients. Students will develop skills that can be applied to practice with individuals, families, and groups in both community-based and institutional criminal justice settings. This course is most relevant for students who are Criminal Justice and Social Work majors and minors (course may be offered as CRJU or SOWO credit)."
"CRJU","30543","An examination of the various techniques and instruments used to analyze organic and non-organic evidence obtained from crime scenes, with an examination of techniques such as DNA analysis."
"CRJU","30553","Prerequisites: CRJU 20413 or 20423 or permission of instructor. An examination of the constitutional principles in criminal procedure with an emphasis on laws that govern police/citizen encounters, pretrial identification, rights at trial, cruel and unusual punishment, equal protection and due process."
"CRJU","30613","An examination of the organization and administration of law enforcement agencies, the function of police, police discretion, ethics, community relations, and the future of policing in American society."
"CRJU","30633","An examination of the history and development of federal law enforcement in the United States, the current make-up and jurisdictions of various federal law enforcement agencies, the role of federal government in homeland security efforts, and career opportunities within the federal law enforcement community."
"CRJU","30643","An examination of the role of the community in reintegrating of offenders, with a focus on correctional programs designed to be administered in a community setting, including probation, parole, halfway houses, restitution, and community service."
"CRJU","30653","An examination of controversial issues in policing.  The course is contextualized in police history and culture as well as contemporary research in policing and news events.  Emphasis is placed on understanding the underlying reasons and root causes of many of the conflicts pertaining to police work."
"CRJU","30703","An exploration of the many ways Geographical Information Systems (GIS) technology is used for crime mapping and pattern analysis.  The course provides a general overview of crime mapping techniques, including their theoretical background, application, trends and future directions.  The course has an integrated lab component that is designed to introduce the student to the software application ArcGIS."
"CRJU","30813","Prerequisites: CRJU 20413 or 20423 or permission of instructor. A critical examination of sexual offending from psychological, sociological, and criminological perspectives.  Emphasis is placed on the etiology and historical perspectives of offending, measuring the incidence and prevalence of sex crimes, sex offender legislation and criminal justice responses, correctional treatments for sex offenders, victim experiences, and the prevention of sex crimes."
"CRJU","30823","An examination of the various types of criminal violence and the criminal justice system's responses to it.  Discussion topics include domestic violence, mass murder, serial killing, riots, and gang violence."
"CRJU","30833","An examination of crime victims from a multidisciplinary perspective that includes a critical focus on the development and current state of victimology research, theory, and measurement.  Specific victim groups are explored, as are the role victims and survivors play in the criminal justice and legal system, and the services available to them."
"CRJU","30853","An examination of current issues and social problems relating to criminal justice in a culturally diverse society.  Emphasis is placed on recognition of diversity and tolerance on behalf of criminal justice professionals."
"CRJU","30863","Prerequisites: CRJU 20413 or 20423 or permission of instructor The examination of the mechanisms and principles in which laws function and are formed.  An exploration of the social ramifications of law with consideration that while law and legal systems produce social order, they can also create and reinforce social disparities."
"CRJU","30883","Prerequisites: CRJU 20413 or 20423 or permission of instructor. This course is an examination of crime and justice in Norway, Denmark, and the Netherlands.  The course will adopt a criminological and cultural perspective in studying crime, criminal justice policy, and the criminal justice systems in these countries and in comparison to the United States.  Lectures, assigned readings, field trips, guest speakers, and other events are included to expand the global awareness and responsibility of students."
"CRJU","30893","This course is an examination of the major similarities and differences between the American experience of crime and justice and that of the Scandinavian countries: including Norway, Sweden, and Denmark.  The course will adopt a criminological and cultural perspective in trying to identify differences between the countries and how these differences lead to distinctions in criminal justice policy and process.  Specific topics include but are not limited to: policing, drug policy, prostitution, incarceration and corrections, crime  rates, and the judicial process.  As an anticipated outcome students will demonstrate a capacity for a more global perspective of criminology and criminal justice.:"
"CRJU","30923","Prerequisites: CRJU 20413 or 20423 or permission of instructor  An examination of organized crime including its relationship to social structure, its historical development through groups such as the Italian/Sicilian Mafia, the extent and impact of modern and nontraditional organized crime syndicates, and prospects for its control."
"CRJU","30933","An examination of the effects that the media have on the perception of crime, including discussion of the social construction of many myths that surround crime and criminal justice."
"CRJU","30943","An overview of Japanese history and major cultural traditions.  Japanese society will be looked at from its origins through the Tokugawa period and onto modern Japan.  Religious traditions and cultural perspectives will be highlighted.  Additionally, the place of modern Japan in the global community will be examined."
"CRJU","30953","An overview of the functioning of the Japanese policing, court, and correctional systems.  In addition, both Japanese street crime and organized crime will be examined with special emphasis on the organization and history of the Japanese Yakuza.  Further, the course will examine the realities of a myriad of social problems in Japanese society both as individual issues and as causes/effects of criminality.  These topics include but are not limited to issues of poverty, urbanization, drug use and family structure stresses."
"CRJU","30963","An overview of Japan's perspectives on and efforts toward sustainability in relation to the environment and economic/technological growth.  Issues of mass transportation, energy production, green architecture, and farming/fishing will be addressed.  In addition the place of sustainability as a philosophical dovetail to Japanese religious and cultural traditions will be highlighted."
"CRJU","30973","An examination of victimless crime highlighting its social control and social construction. Specific topics include gambling, prostitution, drug and alcohol use, and pornography."
"CRJU","30983","This course involves an examination wrongful convictions, including the factors that contribute to wrongful convictions, as well as the impact that wrongful convictions have on exonerees, their loved ones, and victims.  Students will explore reforms that have been implemented to help prevent future wrongful.convictions, as well as the continued need for reforms to address this issue.   Additional topics that will be covered include examining specific cases of wrongful convictions, death penalty exonerations, and the possibility of wrongful executions."
"CRJU","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"CRJU","32990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"CRJU","40003","For Honors students obtaining a B.S. in Criminal Justice. A research study and paper, under faculty direction, conducted in some area of criminal justice."
"CRJU","40403","An examination of cyber and high-tech crime addressed from a criminological perspective.  Emphasis is placed on the nature, scope, and development of these crimes.  Special attention is given to the victims and perpetrators of the various types of cyber crime.  The challenges cyber crime poses to researchers and law enforcement are addressed."
"CRJU","40473","An examination of juvenile delinquency, with particular consideration of theoretical explanations, community influences, and prevention and treatment efforts.  Youthful offenders and their behaviors are addressed from both a historical and contemporary perspective.  NOTE:  Credit not awarded for both CRJU 40473 and CRJU/SOCI 40463."
"CRJU","40503","Prerequisites: CRJU 20413 or instructor permission.  An examination of the various aspects and dimensions of white collar crime. Emphasis is placed on the nature, extent, and costs of white collar crime, with special attention to the social structural and organizational forces which give rise to such crimes."
"CRJU","40613","Examination of current issues and social problems relating to terrorism and homeland security.  Emphasis is placed on recognizing and responding to terrorist threats with respect to individual rights and security."
"CRJU","40853","This course explores the relationship between race, ethnicity, and the criminal justice system in the United States. While contextualized in the criminological perspective, this course will explore a multidisciplinary understanding of this topic. The ability of policies to both increase and decrease racial and ethnic disparities is examined."
"CRJU","40963","Prerequisite: Permission of Criminal Justice Internship Director. Students serve for a minimum of 125 hours per semester as participant-observers in a local criminal justice agency. Students submit weekly verified report on hours worked to the Internship Director, who regularly meets with all interns in a seminar discussion of internship problems and activities. Each student will submit a final written report and evaluation."
"CRJU","40970","A specific program of study that must be approved by the Chair of the Criminal Justice Department prior to enrollment in this course. Independent studies may be taken for credit ranging from 1 to 6 semester hours depending on the project undertaken."
"CRWT","10200","General Transfer Credit-FAR"
"CRWT","10203","Workshop in which students present their writing (fiction, poetry, drama, creative nonfiction) for class analysis; will be complemented by lectures on the genres and readings that exemplify outstanding technique."
"CRWT","20103","Introduces concepts of close reading and the creative writing workshop.  Engages questions of the role of reading in culture, its impact on understanding complex issues, and the connection of reading to composing."
"CRWT","20123","Introduces concepts of close reading and the creative writing workshop.  Engages the craft of travel writing within and across cultures as a way to deepen awareness of what it means to be a global citizen, while fostering a more nuanced view of the individual in the world."
"CRWT","20133","In this creative writing course, students will read and analyze plays, experimental collaborative performances, and poetry, specifically focusing on identity expression through the written word and performance.  Students will also get experience writing their own plays and poetry, as well as receive constructive critiques on their own written work."
"CRWT","30233","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A creative nonfiction writing class for students with some experience in creative writing.  In this course, students will get experience writing memoir, personal essays, autobiography, oral history, and in other nonfiction genres."
"CRWT","30343","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A fiction writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55153 and CRWT 30343."
"CRWT","30353","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A poetry writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55273 and CRWT 30353."
"CRWT","30363","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 or Digital Culture and Data Analytics major or minor.  Explores the composition of creative work using digital technologies - collage, graphic narratives, multimedia poetry/fiction, and creative short animations.  The course emphasizes concepts in creative writing, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating typography, images, and other modes.  Students cannot receive credit for CRWT 55363 and CRWT 30363."
"CRWT","30373","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Student cannot receive credit for CRWT 55213 and CRWT 30373."
"CRWT","40133","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 .  A creative nonfiction writing class for students with some experience in creative writing, this a craft/workshop course intended for advanced writers who have a committed interest in creative non-fiction (such as personal essay, literary journalism, travel writing, science writing, memoir, and other non-fiction genres) and are comfortable writing longer works of prose.  As a workshop, students will work cooperatively to share and improve each others' work during the semester.  Student cannot receive credit for CRWT 55133 and ENGL/WRIT/CRWT 40133."
"CRWT","40203","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced fiction-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT/CRWT 30343 (Fiction Writing Workshop I)."
"CRWT","40213","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced poetry-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT/CRWT 30353 (Poetry Writing Workshop I)."
"CRWT","40223","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Prior to enrollment, students are strongly encouraged to take another 30000-level course in creative writing.  Student cannot receive credit for CRWT 55223 and CRWT 40223."
"CRWT","40703","Prerequisites:  CRWT 10203, or CRWT 20103, or CRWT 20133, plus the prior completion of a 30000-or 40000-level Creative Writing Workshop with a grade of at least B-.  The Advanced Multi-Genre Workshop is a craft/workshop course in writing poems, fiction, and creative non-fiction.  This class is intended for students who are dedicated to creative writing, who have a strong background in creative writing and sustained experience workshopping.  This class is repeatable for credit.  Student cannot receive credit for CRWT 55703 and CRWT 40703."
"CRWT","40803","Prerequisites: CRWT 10203 or 20103 or 20133, and at least one 30000- or 40000-level Creative Writing Workshop.  An advanced examination of texts representing a specified formal tradition within a literary genre.  Readings will focus on craft techniques and reader expectations in the given formal tradition, familiarizing participants with varied examples within its canon.  Students will construct and critique their own original writing representative of the formal tradition under study.  Focus of literary genre may vary with each offering (i.e., novella, epic poem, one-act plays, et cetera)."
"CRWT","55103","Prerequisites:  CRWT 10203 or CRWT 20103.  A creative nonfiction writing class for students with some experience in creative writing.  In this course, students will get experience writing memoir, personal essays, autobiography, oral history, and in other nonfiction genres.  The course may also include reading of major nonfiction writers from the Renaissance to the present.  Student cannot receive credit for CRWT 55103 and CRWT/ENGL/WRIT 30233."
"CRWT","55133","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 .  A creative nonfiction writing class for students with some experience in creative writing, this a craft/workshop course intended for advanced writers who have a committed interest in creative non-fiction (such as personal essay, literary journalism, travel writing, science writing, memoir, and other non-fiction genres) and are comfortable writing longer works of prose.  As a workshop, students will work cooperatively to share and improve each others' work during the semester.  Student cannot receive credit for CRWT 55133 and ENGL/WRIT/CRWT 40133."
"CRWT","55143","Prerequisites: CRWT 10203, CRWT 20103, or CRWT 20133.  Prior to enrollment, students are also strongly encouraged to take an upper-division creative writing course. Studies in Creative Writing is an intensive creative writing workshop open to students (graduate and advanced undergraduates) who have a strong background in literature and imaginative writing.  Depending on the semester and the selected genre, this course will pay special attention to invention, point-of-view, voice, form, and genre-appropriate theory.  Student cannot receive credit for CRWT 55143 and ENGL 50233."
"CRWT","55153","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A fiction writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55153 and CRWT 30343."
"CRWT","55163","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103.  An advanced fiction-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT  30343 (Fiction Writing Workshop I).  Student cannot receive credit for CRWT 55163 and ENGL/WRIT/CRWT 40203."
"CRWT","55173","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103.  An advanced poetry-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT/CRWT 30353 (Poetry Writing Workshop I).  Student cannot receive credit for CRWT 55173 and ENGL/WRIT/CRWT 40213."
"CRWT","55213","Prerequisites:  ENGLWRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Student cannot receive credit for CRWT 55213 and CRWT 30373."
"CRWT","55213","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Student cannot receive credit for CRWT 55213 and CRWT 30373."
"CRWT","55223","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Prior to enrollment, students are strongly encouraged to take another 30000-level course in creative writing.  Student cannot receive credit for CRWT 55223 and CRWT 40223."
"CRWT","55273","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A poetry writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55273 and CRWT 30353."
"CRWT","55273","Prerequisites:  ENGL/WRIT/CRWT 10203, ENGLWRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A poetry writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55273 and CRWT 30353."
"CRWT","55313","Prerequisites:  CRWT 10203 or 20103.  An advanced dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Prior to enrollment, students are strongly encouraged to take another 30000-level course in creative writing.  Student cannot receive credit for CRWT 55313 and CRWT 40223."
"CRWT","55363","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 or Digital Culture and Data Analytics major or minor.  Explores the composition of creative work using digital technologies - collage, graphic narratives, multimedia poetry/fiction, and creative short animations.  The course emphasizes concepts in creative writing, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating typography, images, and other modes.  Students cannot receive credit for CRWT 55363 and CRWT 30363."
"CRWT","55703","Prerequisites:  CRWT 10203, or CRWT 20103, or CRWT 20133, plus the prior completion of a 30000-or 40000-level Creative Writing Workshop with a grade of at least B-.  The Advanced Multi-Genre Workshop is a craft/workshop course in writing poems, fiction, and creative non-fiction.  This class is intended for students who are dedicated to creative writing, who have a strong background in creative writing and sustained experience workshopping.  This class is repeatable for credit.  Student cannot receive credit for CRWT 55703 and CRWT 40703."
"CRWT","55973","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Directed Study in Creative Writing."
"CRWT","55973","Prerequisites:  ENGL 10803, ENGL 20803, and at least one 10000-or 20000-level ENGL/WRIT/CRWT course.  Directed Study in Creative Writing."
"DANC","10000","General Transfer Credit-FAR credit"
"DANC","10200","General Transfer Credit"
"DANC","10211","Prerequisites: Dance major.  This introductory level course is the first in the Pilates I-IV series. Through the Pilates work, students engage in practice and analysis of the body in action, and learn to work functionally, efficiently and safely."
"DANC","10221","Prerequisites:  Dance major and/or DANC 10211. This intermediate level course is
the second in the Pilates I-IV series. Through the Pilates work, students engage in practice and analysis of the body in action, and learn to work functionally, efficiently and safely."
"DANC","10250","General Transfer Credit"
"DANC","10300","Prerequisites: Dance major or permission of instructor.  Practical experience in all facets of dance production related to departmental presentations.  (Maximum of .5 credit hour per semester.  Course may be repeated for a maximum of 2 credit hours.)  (This course is only offered as P/NC.)"
"DANC","10302","Prerequisite: Dance major or permission of instructor.  This course will provide dancers with a basic understanding of music theory and structure.  Students will have practical experience working with musicians (composers and accompanists) as applied to dance."
"DANC","10311","Prerequisite: Dance majors.  This course will introduce first year dance majors to specific information relevant to their development as students, dancers and artists.  Topics include:  careers in dance, health and wellness, portfolio building, audition practices, and resource gathering."
"DANC","10312","Prerequisite: Dance Major and concurrent enrollment in Ballet and/or Modern Dance Technique or permission of the instructor.  This course focuses on improvisation as a dance form; a means of developing movement in the moment that fuses the role of creator and performer.  Various approaches to improvisation will be presented and explored, including improv as a tool for dance composition.  Students will acquire basic skills for critical response and analysis."
"DANC","10331","This course provides studio practice of an international dance form.  Various dance forms will be offered and will be designated with a descriptive course title. Course may be repeated for credit."
"DANC","10341","Prerequisite: Dance major.  Approaches to healthful and efficient movement through topics including structure, alignment and conditioning particularly appropriate to the aspiring professional dancer."
"DANC","10412","Beginning ballet for general students.  Introduction to theory and practice of classical ballet for general students.  This is a studio-based movement course.   (Course may be repeated for credit.)"
"DANC","10422","Introduction to the training, theory and practice of foundational modern dance and
contemporary dance forms at the beginner level. This is a studio-based movement
course. (Course may be repeated for credit.)"
"DANC","10431","This course is the study of various Social Dance styles.  The styles offered will vary.  Classes include basic movement patterns, technique, elements of style, lead and follow (as applicable), and dance etiquette.  Course content will be drawn from ballroom or other partner dance styles including circle dances, line dances, and club dances.  Course may be repeated."
"DANC","10432","Introduction to character dances selected from a variety of classical ballets designed to develop character dance technique and musicality."
"DANC","10453","Historical and critical examination of dance as a fundamental human expression present across world cultures."
"DANC","20100","Prerequisite: Dance Major status or permission of instructor.  Training in the foundational technique of classical ballet.  (1.0 - 2.5 hours maximum per semester. Course may be repeated for credit.)"
"DANC","20120","Prerequisites: Dance majors only or permission of instructor.  Independent project supervised by faculty. (0.5 - 3 credit hours per course.)  May be repeated for credit."
"DANC","20200","Prerequisite: Dance Major status or permission of instructor. Training, theory and
practice in foundational classical modern and/or contemporary dance forms at the
beginning level. 1 credit min to 2.5 hours maximum per semester. Course may be
repeated for credit."
"DANC","20211","Prerequisites:  Dance major and/or DANC 10221. This intermediate-advanced
level course is the third in the Pilates I-IV series. Through the Pilates work, students engage in practice and analysis of the body in action, and learn to work functionally, efficiently and safely."
"DANC","20221","Prerequisites: Dance major and/or DANC 20211. This advanced level course is
the fourth in the Pilates I-IV series. Through the Pilates work, students engage in practice and analysis of the body in action, and learn to work functionally, efficiently and safely."
"DANC","20262","Prerequisites: DANC 10312 or permission of instructor.  This course explores contact improvisation as a duet form grounded in the principles of weight sharing, gravity and momentum.  Dancers will work together to hone improvisational skills that include heightened awareness and partnering work that requires commitment, responsiveness, and immediacy.  May be repeated for credit."
"DANC","20300","Prerequisite: Dance major and concurrent enrollment in daily dance technique course; DANC 20100, 20200, 30100, 30200, 40100, 40200, or 40150.  This course is a performance course.  Students earn the opportunity - via audition or casting process - to perform in either a faculty or guest artist work.  Through the performance experience, students utilize dance technique and artistry developed in ballet and modern dance courses.  This course may be repeated for credit up to 2 hours, .5 credit hour per semester (1.5 hours minimum required for dance majors.)"
"DANC","20303","Prerequisites: Dance major or permission of instructor.  Three hours lecture/movement lab and 1 hour science lab each week. This course presents various scientific tools of movement analysis that supports and facilitates the work of dance professionals.  Emphasis will be placed on using scientific
research to develop a greater understanding of the form and function of the body in order to optimize dance-training practices."
"DANC","20322","Prerequisite: DANC 10312, Dance Major, and concurrent enrollment in a Ballet and/or Modern Dance technique class.  Introduction to the craft of choreography.  Students are introduced to the elements of dance movement and basic compositional theories, create choreographic studies and engage in critical analysis."
"DANC","20333","Prerequisites: Dance major or permission of instructor.  Dance Production is an introduction to design and production for dance.   This course provides broad exposure to design and production with emphasis on their relationship to dance performance.  It is a survey of production areas including basic visual design, scenery and costumes, lighting, sound, and video.  It also provides an introduction to the mechanics of the tools, lighting instruments, control consoles, sound systems, video projectors, and other technology used in live performance."
"DANC","20412","Prerequisites: Placement audition and/or permission of instructor required.  Study and practice of classical ballet technique for general students at the intermediate level.  (Course may be repeated for credit.)"
"DANC","20422","Prerequisite: Placement audition and/or permission of instructor required. Study and practice of modern dance technique for general students at the intermediate level. (Course may be repeated for credit.)"
"DANC","20442","Study and practice at a beginner/intermediate level of dance styles that are influend by the many roots of jazz dance. Structure of class will include warm-up, technical practice, progressions, and choreography. Course content will draw from Musical Theatre, Theatrical Jazz, Vernacular, Hip-hop, and Latin influences. Course may be repeated for credit."
"DANC","20452","Prior dance training required. Study and practice at an intermediate/advanced level of dance styles that are influenced by the many roots of jazz dance. Structure of class will include warm-up, technical practice, progressions, and choreography. Course content will draw from Musical Theatre, Theatrical Jazz, Vernacular, Hip-hop, and Latin influences. Course may be repeated for credit."
"DANC","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"DANC","30100","Prerequisite: Dance Major; DANC 20100 or permission of instructor. Daily training in the contemporary practice of classical ballet at the intermediate level. (2.0 - 2.5 hours maximum per semester. Course may be repeated for credit.)"
"DANC","30111","Prerequisites: Ballet Major and concurrent enrollment in Ballet Technique (DANC 30100, 40100 or 40150); or permission of instructor. This course develops the strength, technique and skill specific to pointe work at the advanced levelof technique. Repeatable for credit."
"DANC","30132","Prerequisite: Dance Major with junior or senior standing or permission of instructor.
Theory, methods of teaching dance with specific focus on ballet."
"DANC","30161","Prerequisite:  Dance Major, DANC 30111, and concurrent enrollment in DANC 30100, 40100, or 40150, or permission of instructor. Practice and performance of ballet repertoire from the Romantic, Classical, Neo-Classical, and Contemporary ballet repertoire. Repeatable for credit."
"DANC","30181","Prerequisites:  Dance Major enrollment by permission only and concurrent enrollment in DANC 20100, 30100, 40100 or 40150; or permission of instructor.  Emphasis on partnering in classical and contemporary ballet. Course may be repeated for credit."
"DANC","30200","Prerequisite: Dance major status or permission by instructor. Training, theory and
practice of classical modern and/or contemporary dance forms at the intermediate
level. (1 hour minimum - 2.5 hours maximum per semester.)"
"DANC","30211","Prerequisites: Dance Major, DANC 20221 and permission of the instructor. This course is an advanced Pilates course and first in the Practica I-IV series. Content in Practica I-IV is progressive and moves the student toward the completion of comprehensive professional training in the Pilates system addressing skills, theory, history, teaching practice and philosophy."
"DANC","30221","Prerequisites: Dance Major and DANC 30211. This course is an advanced Pilates
course and second in the Practica I-IV series. Content in Practica I-IV is progressive and moves the student toward the completion of comprehensive professional training in the Pilates system addressing skills, theory, history, teaching practice and philosophy."
"DANC","30232","Prerequisites: Dance major and DANC 30200. Theory, methods and
materials of teaching dance with specific focus on modern and contemporary dance."
"DANC","30300","Prerequisites: Dance major and DANC 10300, or permission of instructor.  Continued practical experience in dance production leadership related to departmental presentations.  (Course may be repeated for a maximum of 3 credit hours.)  (This course is only offered as P/NC.)"
"DANC","30301","Prerequisites:   Dance Major or permission of instructor. May be repeated for credit.  This course will explore a specific somatic modality that may include but is not limited to: Gyrotonic®, Gyrokinesis®, Feldenkreis, Hamilton Floor Barre, Floor Barre, Alexander Technique®, or other somatic practice based in the faculty member's expertise. 1 credit. May be repeated for credit."
"DANC","30303","Prerequisites: Dance major and Honors standing.  A supervised research experience in dance studies.  The topic will be determined in consultation with the supervising professor.  Topics may be focused on, but are not limited to, aspects of performance, choreography, history, education or aesthetics.  Performance may be an aspect of the course.  Arrangements for the course, which is offered only as a tutorial, must be made with an instructor prior to enrollment."
"DANC","30311","Prerequisite: Dance major.  This seminar course is an exploration of dance-related topics providing frameworks for professional success in the field."
"DANC","30330","Prerequisites: DANC 30100 or 30200 or permission of the instructor.  This course explores the theory and practice of teaching Creative Movement for young children.  Students will learn to design and implement classes that harness the elements of dance - body, time, space and energy - to the end of stimulating creative investigation via movement.  1-3 credit hours."
"DANC","30332","Prerequisites: DANC 20322, Dance Major and concurrent enrollment in Ballet and/or Modern Dance technique class, or permission of the instructor.  As dance majors further their choreographic skills, focus centers on developing content, defining structure and learning to manipulate choreographic devises.  Creativity and critical analysis are essential components of coursework."
"DANC","30333","Prerequisites: Dance major and DANC 20333, or permission of instructor.  This course will provide students with the information and practical experience to create and implement lighting design for dance."
"DANC","30363","Prerequisites: DANC 20100 and 20200 or permission of instructor.  Physical Theatre is a contemporary, hybrid art form developed within European culture.  Program participants will move between hands-on practice - developing and testing ideas in the studio - and historical, aesthetic and critical investigation of the form.  Study in the UK will be augmented by attendance at an international festival to view and respond to physical theatre in live performance."
"DANC","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"DANC","40100","Prerequisite: Dance Major and DANC 30100 or permission of instructor.  Daily training in the contemporary practice of classical ballet at the advanced level.    
(2.0 - 2.5 hours maximum per semester. Course may be repeated for credit.)"
"DANC","40120","Prerequisites: Dance major or permission of instructor.  Independent project supervised by faculty. (0.5 - 3 credit hours per course.)  May be repeated for credit."
"DANC","40150","Prerequisite: Dance Major; DANC 40100 or permission of instructor.
Daily training in the contemporary practice of classical ballet at the advanced/professional level.  (2.0 - 2.5 hours maximum per semester. Course
may be repeated for credit.)"
"DANC","40200","Prerequisite: Dance Major or permission of instructor. Training, theory and practice of classic modern and/or contemporary dance forms at the intermediate/advanced level. (1 hour minimum - 2.5 hours maximum per semester.) Course may be repeated for credit.)"
